exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,child,compliance,household,ext_group,FoI_max,FoI_community
0.8999999999999999,2.0000000000000004,20.000000000000014,0.0,0.1,3.981428761823255,6.5532554382454125,1444.0,0,0,0,0,1.0,2527,1,1.3529107053255434,0.19849313114441064
0.6,2.0000000000000004,0.0,9.99999999999998,0.1,4.91879105637332,9.556141044019835,2615.0,1,0,0,0,1.0,4608,2,0.011487488872700569,0.0010571614414911256
0.4,5.999999999999995,13.999999999999966,0.0,0.1,4.282120129451474,9.919386475164195,2784.0,0,0,0,0,1.0,4896,2,0.2268325975559113,0.013356101706773808
9.199999999999983,13.999999999999966,0.0,0.0,0.1,4.182169951494491,6.7460147932566175,3057.0,0,1,0,1,1.0,5385,2,9.271134780893316e-8,2.9343435680218867e-7
1.9000000000000006,2.0000000000000004,0.0,9.99999999999998,0.1,5.118695916727248,9.387757234928701,3471.0,1,0,0,0,1.0,6119,2,7.581378149844576,2.5466501553840364
1.4000000000000001,4.999999999999998,15.99999999999996,0.0,0.1,5.733522950386384,5.531266541661508,3806.0,0,0,0,1,1.0,6700,1,3.0398057993501904,0.7896665975697176
18.9,2.0000000000000004,20.000000000000014,0.0,0.1,20.512614484394813,8.048007301896249,3984.0,0,1,0,1,1.0,7012,1,0.006333648145484385,0.029007243869194545
0.5,2.0000000000000004,0.0,9.99999999999998,0.1,5.311458282479631,8.762716257874521,4253.0,1,0,0,0,1.0,7500,2,1.6137539284409046,0.12159959803739988
10.19999999999998,13.999999999999966,0.0,0.0,0.1,4.452725973280527,8.630769365759893,4504.0,0,0,0,0,1.0,7943,0,4.146156961152676,16.23538730979579
10.499999999999979,13.999999999999966,0.0,0.0,0.1,3.6865309418131402,7.514169085051763,4691.0,0,1,0,1,1.0,8268,0,0.0581126756475975,0.20418520073478036
2.700000000000001,13.999999999999966,0.0,0.0,0.1,10.395958368050692,6.401533327262832,5075.0,1,0,0,0,1.0,8947,0,0.0026487845181609043,0.0015984543397361704
6.199999999999994,13.999999999999966,0.0,0.0,0.1,3.5836739692187756,9.072864650082492,6733.0,0,0,0,1,1.0,11870,0,2.0813587120569335e-13,3.859503890204951e-13
7.799999999999988,13.999999999999966,0.0,0.0,0.1,3.762923574543848,5.129553900711883,6802.0,0,0,0,0,1.0,11987,0,1.6417796944441687,3.9847453167700375
16.699999999999967,0.9999999999999999,13.999999999999966,0.0,0.1,13.997341882648955,9.083406550441243,6980.0,0,0,0,1,1.0,12300,1,0.006856643431129593,0.03256463725343514
12.599999999999971,0.9999999999999999,13.999999999999966,0.0,0.1,13.363782711881118,8.952865637714732,6980.0,0,0,0,0,1.0,12300,1,2.5932340993405494e-13,1.131558208624009e-12
3.600000000000002,2.0000000000000004,13.999999999999966,0.0,0.1,3.6993204317807753,8.248039247624874,8035.0,0,0,0,0,1.0,14161,1,2.6818787830367156e-11,2.1715390311346345e-11
14.299999999999965,13.999999999999966,0.0,0.0,0.1,8.481071696531677,9.765576153469567,9122.0,0,0,0,1,1.0,16079,0,0.16224091000806662,0.7661568979615844
6.8999999999999915,13.999999999999966,0.0,0.0,0.1,2.669353824738779,6.635528989774634,9120.0,0,1,0,1,1.0,16072,0,0.6393122959095597,1.853911220782802
16.399999999999963,13.999999999999966,0.0,0.0,0.1,7.241237939384758,9.278749699299805,9120.0,0,1,0,0,1.0,16072,0,0.2958923910302106,1.3681115382858606
11.099999999999977,2.0000000000000004,13.999999999999966,0.0,0.1,16.612188695292545,8.495622309752498,11370.0,0,0,0,0,1.0,20026,1,0.010130232361270811,0.0407587956520131
6.399999999999993,5.999999999999995,13.999999999999966,0.0,0.1,5.598412163220648,9.456051182230695,11625.0,0,0,0,0,1.0,20466,2,0.3308526500795134,0.6281183551568211
3.2000000000000015,3.0000000000000013,13.999999999999966,0.0,0.1,5.7398781490954205,7.171799430829012,11930.0,0,0,0,1,1.0,21005,2,0.005675179159793464,0.0040888131197974785
2.1000000000000005,2.0000000000000004,15.99999999999996,0.0,0.1,7.457423796667667,9.936165243222446,12409.0,0,0,0,0,1.0,21851,1,3.573770004567618,1.3375500537949516
0.7999999999999999,2.0000000000000004,13.999999999999966,0.0,0.1,4.20561046855262,9.615879013164204,12653.0,0,0,0,0,1.0,22287,2,4.088072312351184e-5,5.042267379643473e-6
1.6000000000000003,5.999999999999995,0.0,9.99999999999998,0.1,8.125472344117531,9.731276186342727,12676.0,1,0,0,0,1.0,22323,2,0.0421211654894317,0.011287464690036502
1.2,5.999999999999995,13.999999999999966,0.0,0.1,6.915700386799347,9.644035875186542,12821.0,0,0,0,1,1.0,22572,2,2.0299616145239108e-5,3.945069429575667e-6
8.599999999999985,3.0000000000000013,13.999999999999966,0.0,0.1,3.698608685073958,5.309471702027561,14625.0,0,1,0,1,1.0,25754,1,0.717991274436308,1.8386334895566268
5.799999999999995,3.0000000000000013,13.999999999999966,0.0,0.1,4.784529003840658,6.493393608122782,14625.0,0,0,0,0,1.0,25754,1,0.00040312871106857305,0.0009081817451590889
8.699999999999985,2.0000000000000004,13.999999999999966,0.0,0.1,7.767024206936362,7.176189444119534,14672.0,0,1,0,0,1.0,25837,1,1.7223740105815206,5.70819236646328
0.6,13.999999999999966,0.0,0.0,0.1,3.1441022608156444,8.137255426582511,16741.0,0,0,0,0,1.0,29493,0,5.7770688606615255e-5,5.364585435420803e-6
1.4000000000000001,2.0000000000000004,0.0,9.99999999999998,0.1,10.402373278425276,7.485465817463039,17004.0,1,0,0,0,1.0,29961,2,0.0009373073781885956,0.00022616989165651254
1.0999999999999999,2.0000000000000004,13.999999999999966,0.0,0.1,3.554514699910357,6.574610633430802,17551.0,0,0,0,0,1.0,30918,1,2.9239043505238593e-15,5.397242202448356e-16
12.399999999999972,13.999999999999966,0.0,0.0,0.1,5.684743964505756,7.287643303412423,17699.0,0,1,0,1,1.0,31179,0,1.7091604206594628,6.074210110456823
1.3,0.9999999999999999,13.999999999999966,0.0,0.1,4.378745674775313,6.109880078791648,18966.0,0,0,0,0,1.0,33412,2,0.010078734846553326,0.0023473558970607405
1.0999999999999999,5.999999999999995,13.999999999999966,0.0,0.1,3.6004684837617593,8.449592818837909,21067.0,0,0,0,0,1.0,37099,2,0.7469946389215382,0.13359135157952237
15.89999999999996,13.999999999999966,0.0,0.0,0.1,8.627873493452736,7.597013831570404,21065.0,0,1,0,0,1.0,37105,0,1.236642184831326e-9,4.786238127417363e-9
1.9000000000000006,0.9999999999999999,13.999999999999966,0.0,0.1,7.510245386018077,5.543093334042988,22202.0,0,0,0,0,1.0,39091,2,0.3655504305612677,0.14123654330438956
17.299999999999976,13.999999999999966,0.0,0.0,0.1,13.281580392174016,5.336747366587894,22394.0,0,1,0,0,1.0,39432,0,0.6452639171296307,2.086089976943387
12.89999999999997,13.999999999999966,0.0,0.0,0.1,7.70867114409586,6.651500534114447,22657.0,0,0,0,0,1.0,39898,0,1.7724278237797585e-7,5.917106474173469e-7
1.3,13.999999999999966,0.0,0.0,0.1,7.2408059377028895,9.565468806372834,22777.0,1,0,0,1,1.0,40104,0,2.8258871203152903e-13,5.962906814509576e-14
0.1,5.999999999999995,0.0,9.99999999999998,0.1,7.538615620247073,9.984775563639355,22854.0,1,0,0,0,1.0,40240,2,0.0054228354932492765,7.845590189940375e-5
0.5,2.0000000000000004,13.999999999999966,0.0,0.1,3.353918997892678,8.178082679346986,22960.0,0,0,0,0,1.0,40423,1,3.318971430764726,0.2506661402099212
16.99999999999997,2.0000000000000004,15.99999999999996,0.0,0.1,9.754553113939952,9.846848897658829,24647.0,0,1,0,0,1.0,43394,2,0.1592073936425005,0.7803027535390774
3.5000000000000018,13.999999999999966,0.0,0.0,0.1,10.286829315927836,6.906149680572561,24802.0,0,0,0,1,1.0,43672,1,2.175628886203641e-6,1.8767380881047977e-6
7.499999999999989,13.999999999999966,0.0,0.0,0.1,4.643588636434566,5.304825322228912,24963.0,0,0,0,0,1.0,43955,0,0.159223178074982,0.3973369046528197
4.799999999999999,2.0000000000000004,13.999999999999966,0.0,0.1,4.445615362967418,8.134943382739852,25092.0,0,0,0,0,1.0,44180,2,0.570081836638652,0.7381887892238076
4.5,2.0000000000000004,15.99999999999996,0.0,0.1,9.047991849506753,8.896272124552425,25160.0,0,0,0,0,1.0,44298,1,0.7663675639770745,0.8377768977267509
0.6,2.0000000000000004,0.0,9.99999999999998,0.1,3.8976960494953063,9.811321119368182,25181.0,1,0,0,0,1.0,44344,2,0.00198362108360888,0.00018156583961584304
