exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
7.29999999999999,0.1,6.807757330841454,6.854175121571596,1,1,2674.0,1,1,0.0006903025859620418,0.0007332793603969554
9.399999999999983,0.1,4.295084094963291,6.056711546364619,1,0,20726.0,0,1,1.0364260095285664,3.0044376434211006
6.5999999999999925,0.1,4.518963818732095,9.788059582590332,1,1,37904.0,1,1,0.033224420172434016,0.0704064782289646
4.200000000000001,0.1,4.385125516166909,8.351808834085581,1,0,39399.0,1,1,0.002603955588101628,0.001058877942254132
4.100000000000001,0.1,3.5570140531283867,5.854128391762774,1,1,61145.0,1,1,0.001945209886265478,0.001744777981714369
12.099999999999973,0.1,5.428736574207353,6.789087264294014,1,0,99513.0,0,1,0.0022216543617482585,0.007523518659253635
1.7000000000000004,0.1,1.6655909673264202,9.159640222788111,1,1,127018.0,1,1,5.275890863516737e-13,1.7293140013102392e-13
9.099999999999984,0.1,7.273502159143783,6.671420775953755,1,0,186016.0,0,1,0.7234337235523753,1.4922678339086635
4.300000000000001,0.1,5.445511761926038,5.179082320190051,1,0,204984.0,0,1,2.781893011274746e-6,9.570680464895203e-7
3.800000000000002,0.1,6.581477592928762,7.5633816934035645,1,0,208677.0,1,1,0.26403299028994587,0.06863816708549214
3.3000000000000016,0.1,3.13795092204061,7.755083947980763,1,1,212480.0,1,1,0.5867276459910088,0.3124032739441157
3.700000000000002,0.1,4.210041012145134,7.131786123236491,1,0,213059.0,1,1,0.011022597707574366,0.003767593735944631
4.100000000000001,0.1,4.731532627833835,6.732796622634002,1,0,215855.0,1,1,4.629741880132293,1.672919179443845
8.999999999999984,0.1,9.438863106622117,6.870622421759024,1,0,218484.0,1,1,0.0013534545265488087,0.0009883635875304814
4.799999999999999,0.1,4.293070266647189,6.486044965930961,1,1,223030.0,1,1,0.022694023406870663,0.021698802734386936
5.899999999999995,0.1,5.245211969363448,8.659813556250752,1,1,225859.0,1,1,0.1726962848392609,0.19461652881807273
7.29999999999999,0.1,3.8242412791923472,8.136618182817088,0,1,245752.0,1,1,2.8745028916363933,7.748961222344477
4.899999999999999,0.1,4.605022918957848,7.270239812533181,0,1,265820.0,1,1,0.18030920302510708,0.13211063913078677
4.899999999999999,0.1,4.743777127210952,8.781457424923493,1,1,269297.0,1,1,0.0003145345024841327,0.00020421261605913687
4.799999999999999,0.1,4.282289663316559,6.585491980605534,0,1,272498.0,1,1,0.055600611163185126,0.053180241622843995
4.6,0.1,3.027268615231889,6.3736521806080715,1,1,274801.0,1,1,0.001946803655133456,0.003029241043016862
5.999999999999995,0.1,5.974520236854562,5.698253737235435,1,1,277640.0,1,1,22.599606509073894,14.410643605672211
4.200000000000001,0.1,3.926322706681571,9.865300283018444,1,1,280107.0,1,1,0.14598054614447284,0.10020661170243714
10.799999999999978,0.1,6.84541276207944,8.17551885771215,1,0,290142.0,0,1,1.6007505684810514e-5,5.005194031277997e-5
5.599999999999996,0.1,5.394095504605818,5.652983980905627,1,1,295351.0,1,1,0.09543997622563732,0.07403535606734261
5.399999999999997,0.1,4.192173750992128,5.131652412636284,1,0,314457.0,0,1,9.145320717749438e-5,0.00012924298455802664
8.299999999999986,0.1,3.507504884786124,6.576018110080177,1,0,316029.0,0,1,0.25989803179612475,0.7361302589545743
6.999999999999991,0.1,5.962918723386309,7.395443694002508,1,0,370818.0,0,1,0.0001815878220725457,0.0002681285016550424
7.699999999999989,0.1,2.3480123995117648,8.901273160611261,1,0,385314.0,0,1,0.0003015511720222603,0.001020173019999088
6.199999999999994,0.1,3.1037506734603744,8.221525368878986,0,1,405037.0,1,1,0.01090053762387427,0.026910028710184244
3.3000000000000016,0.1,4.305071109470252,7.736839119915678,1,0,412873.0,0,1,0.008991632032970764,0.00255123913735018
6.8999999999999915,0.1,9.190548072278991,5.953332587206895,1,0,429198.0,0,1,0.00040256321754235814,0.00018661458460783042
4.6,0.1,4.449202650325453,6.716763156596838,1,1,443090.0,1,1,0.0008264274134226951,0.0005161110880004705
2.800000000000001,0.1,2.778368529314929,7.1454622051297525,1,0,460521.0,0,1,2.7945744096747143e-10,1.1339781950737871e-10
9.099999999999984,0.1,9.905650134563693,8.720211699825136,1,0,470234.0,1,1,6.737281864476785e-5,4.752309634707302e-5
3.1000000000000014,0.1,2.3352285852435313,5.343919229050096,1,0,483706.0,0,1,0.09681365005469533,0.09204372676353063
4.6,0.1,4.264695604824032,9.544371118615489,1,1,515234.0,1,1,1.9521665946056472e-8,1.5559119037544377e-8
4.300000000000001,0.1,3.547222581856954,5.091406967844659,0,1,522333.0,1,1,0.03265272711071573,0.033743101629366334
4.6,0.1,4.097707210044396,9.314760557574537,1,1,543248.0,1,1,0.0001536244655379052,0.00014734337252175298
7.29999999999999,0.1,3.086250098425436,9.978505097892885,1,0,558385.0,0,1,2.7953285359876747,8.958635383222598
4.6,0.1,6.747000516519924,9.269838508527698,1,0,587358.0,0,1,3.128919295550682,1.0100361943433074
6.8999999999999915,0.1,4.509551780711121,6.089527725129543,1,0,602397.0,0,1,2.7584600050365435,5.654771124285119
4.999999999999998,0.1,3.6429270770458966,8.23626309999508,1,0,617907.0,0,1,8.670284964485873,13.358153294090293
5.1999999999999975,0.1,2.9306078517847616,6.140191925822159,1,0,624106.0,0,1,0.1663449887575346,0.31632367020597363
4.100000000000001,0.1,4.051823548735257,5.250863948473263,1,1,692649.0,1,1,0.3039441752789974,0.15231368329947226
7.19999999999999,0.1,6.997845585794945,9.862866250523739,1,1,692747.0,1,1,3.931877919225564,3.53955537072412
3.5000000000000018,0.1,3.0127050188028974,7.638923438675322,1,1,712259.0,1,1,0.7071418917329141,0.5600100269875369
4.4,0.1,4.547193219768505,9.653436419241288,1,0,722057.0,0,1,8.992156472538662,3.8224876268222707
5.599999999999996,0.1,5.462736425437432,6.734561094276779,1,0,722062.0,0,1,0.21074656684489604,0.1467500953841011
6.8999999999999915,0.1,10.243105711978757,6.386086496002824,1,0,724586.0,1,1,0.3797804637215872,0.16188578306832785
4.4,0.1,9.538576732278358,8.846336430556384,1,0,736400.0,1,1,0.05854717653032759,0.015061060739336102
7.19999999999999,0.1,4.056456981494395,9.130441890492158,1,0,795331.0,0,1,4.930158803305968e-6,1.3212111291034063e-5
